Source,Rate category,Updated Parish,Month,Sum of Budget
Postpaid,RT40,KSAN,Sept-26,15442325
Postpaid,RT40,KSAN,Oct-26,15487876
Postpaid,RT40,KSAN,Nov-26,15561524
Postpaid,RT40,KSAN,Dec-26,15346303
Postpaid,RT40,KSAS,Apr-26,13552339
Postpaid,RT40,KSAS,May-26,12619257
Postpaid,RT40,KSAS,Jun-26,13737498
Postpaid,RT40,KSAS,Jul-26,14309160
Postpaid,RT40,KSAS,Aug-26,14201189
Postpaid,RT40,KSAS,Sept-26,14399285
Postpaid,RT40,KSAS,Oct-26,14441760
Postpaid,RT40,KSAS,Nov-26,14510433
Postpaid,RT40,KSAS,Dec-26,14309748
Postpaid,RT40,Manchester,Apr-26,1977105
Postpaid,RT40,Manchester,May-26,1840981
Postpaid,RT40,Manchester,Jun-26,2004117
Postpaid,RT40,Manchester,Jul-26,2087515
Postpaid,RT40,Manchester,Aug-26,2137187
Postpaid,RT40,Manchester,Sept-26,2167000
Postpaid,RT40,Manchester,Oct-26,2173392
Postpaid,RT40,Manchester,Nov-26,2183727
Postpaid,RT40,Manchester,Dec-26,2153525
Postpaid,RT40,Portland,Apr-26,705398
Postpaid,RT40,Portland,May-26,656831
Postpaid,RT40,Portland,Jun-26,715036
Postpaid,RT40,Portland,Jul-26,744791
Postpaid,RT40,Portland,Aug-26,754570
Postpaid,RT40,Portland,Sept-26,765096
Postpaid,RT40,Portland,Oct-26,767353
Postpaid,RT40,Portland,Nov-26,771002
Postpaid,RT40,Portland,Dec-26,760338
Postpaid,RT40,Portmore,Apr-26,4386641
Postpaid,RT40,Portmore,May-26,4084620
Postpaid,RT40,Portmore,Jun-26,4446574
Postpaid,RT40,Portmore,Jul-26,4631610
Postpaid,RT40,Portmore,Aug-26,4596662
Postpaid,RT40,Portmore,Sept-26,4660782
Postpaid,RT40,Portmore,Oct-26,4674530
Postpaid,RT40,Portmore,Nov-26,4696758
Postpaid,RT40,Portmore,Dec-26,4631800
Postpaid,RT40,St. Ann,Apr-26,3053467
Postpaid,RT40,St. Ann,May-26,3198640
Postpaid,RT40,St. Ann,Jun-26,3675533
Postpaid,RT40,St. Ann,Jul-26,3828484
Postpaid,RT40,St. Ann,Aug-26,3919583
Postpaid,RT40,St. Ann,Sept-26,3974258
Postpaid,RT40,St. Ann,Oct-26,3985981
Postpaid,RT40,St. Ann,Nov-26,4004935
Postpaid,RT40,St. Ann,Dec-26,3949546
Postpaid,RT40,St. Catherine,Apr-26,7784226
Postpaid,RT40,St. Catherine,May-26,7248281
Postpaid,RT40,St. Catherine,Jun-26,7890579
Postpaid,RT40,St. Catherine,Jul-26,8218931
Postpaid,RT40,St. Catherine,Aug-26,8156915
Postpaid,RT40,St. Catherine,Sept-26,8270698
Postpaid,RT40,St. Catherine,Oct-26,8295094
Postpaid,RT40,St. Catherine,Nov-26,8334539
Postpaid,RT40,St. Catherine,Dec-26,8219269
Postpaid,RT40,St. Elizabeth,Apr-26,2580810
Postpaid,RT40,St. Elizabeth,May-26,2703511
Postpaid,RT40,St. Elizabeth,Jun-26,3106583
Postpaid,RT40,St. Elizabeth,Jul-26,3235858
Postpaid,RT40,St. Elizabeth,Aug-26,3147213
Postpaid,RT40,St. Elizabeth,Sept-26,3191114
Postpaid,RT40,St. Elizabeth,Oct-26,3200527
Postpaid,RT40,St. Elizabeth,Nov-26,3215747
Postpaid,RT40,St. Elizabeth,Dec-26,3171272
Postpaid,RT40,St. James,Apr-26,6452949
Postpaid,RT40,St. James,May-26,6759744
Postpaid,RT40,St. James,Jun-26,7767571
Postpaid,RT40,St. James,Jul-26,8090804
Postpaid,RT40,St. James,Aug-26,8283326
Postpaid,RT40,St. James,Sept-26,8398872
Postpaid,RT40,St. James,Oct-26,8423647
Postpaid,RT40,St. James,Nov-26,8463703
Postpaid,RT40,St. James,Dec-26,8346647
Postpaid,RT40,St. Mary,Apr-26,1302058
Postpaid,RT40,St. Mary,May-26,1212411
Postpaid,RT40,St. Mary,Jun-26,1319848
Postpaid,RT40,St. Mary,Jul-26,1374771
Postpaid,RT40,St. Mary,Aug-26,1392822
Postpaid,RT40,St. Mary,Sept-26,1412251
Postpaid,RT40,St. Mary,Oct-26,1416417
Postpaid,RT40,St. Mary,Nov-26,1423152
Postpaid,RT40,St. Mary,Dec-26,1403470
Postpaid,RT40,St. Thomas,Apr-26,839202
Postpaid,RT40,St. Thomas,May-26,781422
Postpaid,RT40,St. Thomas,Jun-26,850667
Postpaid,RT40,St. Thomas,Jul-26,886066
Postpaid,RT40,St. Thomas,Aug-26,907150
Postpaid,RT40,St. Thomas,Sept-26,919804
Postpaid,RT40,St. Thomas,Oct-26,922518
Postpaid,RT40,St. Thomas,Nov-26,926904
Postpaid,RT40,St. Thomas,Dec-26,914085
Postpaid,RT40,Trelawny,Apr-26,1361164
Postpaid,RT40,Trelawny,May-26,1267447
Postpaid,RT40,Trelawny,Jun-26,1456414
Postpaid,RT40,Trelawny,Jul-26,1517020
Postpaid,RT40,Trelawny,Aug-26,1475462
Postpaid,RT40,Trelawny,Sept-26,1496043
Postpaid,RT40,Trelawny,Oct-26,1500456
Postpaid,RT40,Trelawny,Nov-26,1507591
Postpaid,RT40,Trelawny,Dec-26,1486741
Postpaid,RT40,Westmoreland,Apr-26,2121529
Postpaid,RT40,Westmoreland,May-26,2222394
Postpaid,RT40,Westmoreland,Jun-26,2553736
Postpaid,RT40,Westmoreland,Jul-26,2660005
Postpaid,RT40,Westmoreland,Aug-26,2587135
Postpaid,RT40,Westmoreland,Sept-26,2623224
Postpaid,RT40,Westmoreland,Oct-26,2630962
Postpaid,RT40,Westmoreland,Nov-26,2643472
Postpaid,RT40,Westmoreland,Dec-26,2606912
Postpaid,RT50,Clarendon,Apr-26,694156
Postpaid,RT50,Clarendon,May-26,797688
Postpaid,RT50,Clarendon,Jun-26,806675
Postpaid,RT50,Clarendon,Jul-26,835459
Postpaid,RT50,Clarendon,Aug-26,909746
Postpaid,RT50,Clarendon,Sept-26,914349
Postpaid,RT50,Clarendon,Oct-26,875500
Postpaid,RT50,Clarendon,Nov-26,859471
Postpaid,RT50,Clarendon,Dec-26,904224
Postpaid,RT50,Hanover,Apr-26,25452
Postpaid,RT50,Hanover,May-26,32904
Postpaid,RT50,Hanover,Jun-26,35123
Postpaid,RT50,Hanover,Jul-26,36377
Postpaid,RT50,Hanover,Aug-26,37631
Postpaid,RT50,Hanover,Sept-26,37821
Postpaid,RT50,Hanover,Oct-26,36214
Postpaid,RT50,Hanover,Nov-26,35551
Postpaid,RT50,Hanover,Dec-26,37402
Postpaid,RT50,KSAN,Apr-26,2521582
Postpaid,RT50,KSAN,May-26,2897671
Postpaid,RT50,KSAN,Jun-26,2930317
Postpaid,RT50,KSAN,Jul-26,3034876
Postpaid,RT50,KSAN,Aug-26,3304730
Postpaid,RT50,KSAN,Sept-26,3321452
Postpaid,RT50,KSAN,Oct-26,3180327
Postpaid,RT50,KSAN,Nov-26,3122101
Postpaid,RT50,KSAN,Dec-26,3284670
Postpaid,RT50,KSAS,Apr-26,8804346
Postpaid,RT50,KSAS,May-26,10117499
Postpaid,RT50,KSAS,Jun-26,10231486
Postpaid,RT50,KSAS,Jul-26,10596564
Postpaid,RT50,KSAS,Aug-26,11185556
Postpaid,RT50,KSAS,Sept-26,11242156
Postpaid,RT50,KSAS,Oct-26,10764488
Postpaid,RT50,KSAS,Nov-26,10567410
Postpaid,RT50,KSAS,Dec-26,11117660
Postpaid,RT50,Manchester,Apr-26,587302
Postpaid,RT50,Manchester,May-26,674897
Postpaid,RT50,Manchester,Jun-26,682500
Postpaid,RT50,Manchester,Jul-26,706853
Postpaid,RT50,Manchester,Aug-26,769705
Postpaid,RT50,Manchester,Sept-26,773599
Postpaid,RT50,Manchester,Oct-26,740730
Postpaid,RT50,Manchester,Nov-26,727169
Postpaid,RT50,Manchester,Dec-26,765033
Postpaid,RT50,Portland,Apr-26,0
Postpaid,RT50,Portland,May-26,0
Postpaid,RT50,Portland,Jun-26,0
Postpaid,RT50,Portland,Jul-26,0
Postpaid,RT50,Portland,Aug-26,0
Postpaid,RT50,Portland,Sept-26,0
Postpaid,RT50,Portland,Oct-26,0
Postpaid,RT50,Portland,Nov-26,0
Postpaid,RT50,Portland,Dec-26,0
Postpaid,RT50,Portmore,Apr-26,73852
Postpaid,RT50,Portmore,May-26,84867
Postpaid,RT50,Portmore,Jun-26,85824
Postpaid,RT50,Portmore,Jul-26,88886
Postpaid,RT50,Portmore,Aug-26,93826
Postpaid,RT50,Portmore,Sept-26,94301
Postpaid,RT50,Portmore,Oct-26,90294
Postpaid,RT50,Portmore,Nov-26,88641
Postpaid,RT50,Portmore,Dec-26,93257
Postpaid,RT50,St. Ann,Apr-26,1014853
Postpaid,RT50,St. Ann,May-26,1311994
Postpaid,RT50,St. Ann,Jun-26,1400485
Postpaid,RT50,St. Ann,Jul-26,1450457
Postpaid,RT50,St. Ann,Aug-26,1579428
Postpaid,RT50,St. Ann,Sept-26,1587420
Postpaid,RT50,St. Ann,Oct-26,1519972
Postpaid,RT50,St. Ann,Nov-26,1492144
Postpaid,RT50,St. Ann,Dec-26,1569841
Postpaid,RT50,St. Catherine,Apr-26,3864559
Postpaid,RT50,St. Catherine,May-26,4440951
Postpaid,RT50,St. Catherine,Jun-26,4490984
Postpaid,RT50,St. Catherine,Jul-26,4651230
Postpaid,RT50,St. Catherine,Aug-26,4909761
Postpaid,RT50,St. Catherine,Sept-26,4934605
Postpaid,RT50,St. Catherine,Oct-26,4724939
Postpaid,RT50,St. Catherine,Nov-26,4638434
Postpaid,RT50,St. Catherine,Dec-26,4879959
Postpaid,RT50,St. Elizabeth,Apr-26,332477
Postpaid,RT50,St. Elizabeth,May-26,429823
Postpaid,RT50,St. Elizabeth,Jun-26,458814
Postpaid,RT50,St. Elizabeth,Jul-26,475185
Postpaid,RT50,St. Elizabeth,Aug-26,491566
Postpaid,RT50,St. Elizabeth,Sept-26,494053
Postpaid,RT50,St. Elizabeth,Oct-26,473061
Postpaid,RT50,St. Elizabeth,Nov-26,464401
Postpaid,RT50,St. Elizabeth,Dec-26,488582
Postpaid,RT50,St. James,Apr-26,3328268
Postpaid,RT50,St. James,May-26,4302758
Postpaid,RT50,St. James,Jun-26,4592970
Postpaid,RT50,St. James,Jul-26,4756855
Postpaid,RT50,St. James,Aug-26,5179823
Postpaid,RT50,St. James,Sept-26,5206033
Postpaid,RT50,St. James,Oct-26,4984834
Postpaid,RT50,St. James,Nov-26,4893571
Postpaid,RT50,St. James,Dec-26,5148381
Postpaid,RT50,St. Mary,Apr-26,314690
Postpaid,RT50,St. Mary,May-26,361626
Postpaid,RT50,St. Mary,Jun-26,365700
Postpaid,RT50,St. Mary,Jul-26,378749
Postpaid,RT50,St. Mary,Aug-26,408130
Postpaid,RT50,St. Mary,Sept-26,410195
Postpaid,RT50,St. Mary,Oct-26,392766
Postpaid,RT50,St. Mary,Nov-26,385575
Postpaid,RT50,St. Mary,Dec-26,405653
Postpaid,RT50,St. Thomas,Apr-26,201634
Postpaid,RT50,St. Thomas,May-26,231707
Postpaid,RT50,St. Thomas,Jun-26,234318
Postpaid,RT50,St. Thomas,Jul-26,242679
Postpaid,RT50,St. Thomas,Aug-26,264257
Postpaid,RT50,St. Thomas,Sept-26,265594
Postpaid,RT50,St. Thomas,Oct-26,254309
Postpaid,RT50,St. Thomas,Nov-26,249653
